TE,Team,Bye,Targets,Rec,Rec Yds,Rec TD,Rush Att,Rush Yds,Rush TD,Fantasy Points (Half-PPR),Fantasy Points (PPR),TE Premium,Exp 100+ Scrim Yd Games,Exp 200+ Scrim Yd Games,Exp 40+ Rush Plays,Exp 20+ Yd Rec Plays
Johnny Mundt,PHI,10.0,2.2,2.38,24.0,0.1,0.0,0.0,0.0,4.19,5.38,6.57,0.0,0.0,0.0,0.42
Ben Yurosek,MIN,6.0,3.07,2.88,24.69,0.0,0.0,0.0,0.0,3.91,5.35,6.79,0.0,0.0,0.0,0.35
David Martin-Robinson,TEN,9.0,3.55,2.5,16.5,0.15,0.0,0.0,0.0,3.8,5.05,6.3,0.0,0.0,0.0,0.09
Dre Miller,GB,11.0,5.8,3.6,14.0,0.0,0.0,0.0,0.0,3.2,5.0,6.8,0.0,0.0,0.0,0.0
Max Bredeson,MIN,6.0,3.2,2.4,19.0,0.0,0.0,0.0,0.0,3.1,4.3,5.5,0.0,0.0,0.0,0.19
Shane Zylstra,BUF,7.0,2.0,1.3,13.3,0.1,0.0,0.0,0.0,2.58,3.23,3.88,0.0,0.0,0.0,0.16
Carter Runyon,LV,13.0,3.0,2.0,12.0,0.0,0.0,0.0,0.0,2.2,3.2,4.2,0.0,0.0,0.0,0.03
Harrison Bryant,SEA,11.0,4.1,1.45,11.65,0.05,0.0,0.0,0.0,2.19,2.92,3.64,0.0,0.0,0.0,0.0
Tyree Jackson,WAS,7.0,4.5,1.7,10.0,0.0,0.0,0.0,0.0,1.85,2.7,3.55,0.0,0.0,0.0,0.0
Cameron Latu,PHI,10.0,1.2,1.2,11.6,0.0,0.0,0.0,0.0,1.76,2.36,2.96,0.0,0.0,0.0,0.19
Brevin Jordan,HOU,8.0,1.05,0.9,6.2,0.0,0.0,0.0,0.0,1.07,1.52,1.97,0.0,0.0,0.0,0.06
Robert Tonyan,PIT,9.0,0.7,0.6,5.4,0.0,0.0,0.0,0.0,0.84,1.14,1.44,0.0,0.0,0.0,0.07
Ko Kieft,TB,10.0,0.6,0.5,5.6,0.0,0.0,0.0,0.0,0.81,1.06,1.31,0.0,0.0,0.0,0.09
Feleipe Franks,CAR,5.0,0.3,0.25,1.95,0.0,0.8,2.95,0.0,0.61,0.74,0.87,0.0,0.0,0.0,0.02
Colson Yankoff,WAS,7.0,1.2,0.2,2.5,0.0,0.0,0.0,0.0,0.35,0.45,0.55,0.0,0.0,0.0,0.0
Drake Dabney,GB,11.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.15,0.0,0.0,0.0,0.0
Jelani Woods,NYJ,13.0,0.07,0.03,0.33,0.0,0.0,0.0,0.0,0.05,0.06,0.08,0.0,0.0,0.0,0.0
