WR,Team,Bye,Targets,Rec,Rec Yds,Rec TD,Rush Att,Rush Yds,Rush TD,Fum,Fantasy Points (Half),Fantasy Points (PPR),Fantasy Points (STD),Exp 100+ Scrim Yd Games,Exp 200+ Scrim Yd Games,Exp 40+ Rush Plays,Exp 20+ Yd Rec Plays
Jordan Hudson,FA,,0.0,5.1,71.4,0.34,0.0,0.0,0.0,,11.73,14.28,9.18,0.0,0.0,0.0,0.0
Derius Davis,LAC,7.0,4.78,5.27,47.83,0.46,1.47,8.43,0.06,0.08,11.22,13.86,8.59,0.0,0.0,0.02,0.79
Harrison Wallace III,FA,,0.0,5.1,66.3,0.34,0.0,0.0,0.0,,11.22,13.77,8.67,0.0,0.0,0.0,0.0
Ben Skowronek,PIT,9.0,5.6,5.95,57.86,0.33,0.03,0.38,0.0,0.03,10.72,13.69,7.74,0.0,0.0,0.0,0.97
Malachi Corley,CLE,11.0,5.05,3.25,27.07,0.1,9.24,65.98,0.1,0.06,12.01,13.64,10.39,0.01,0.0,0.16,0.23
Eric Rivers,TB,10.0,5.4,5.05,63.0,0.37,0.0,0.0,0.0,0.0,11.04,13.57,8.52,0.0,0.0,0.0,1.13
J. Michael Sturdivant,FA,,0.0,5.1,59.6,0.34,0.0,0.0,0.0,,10.55,13.1,8.0,0.0,0.0,0.0,0.0
Tom Kennedy,DET,6.0,4.1,8.2,48.42,0.0,0.0,0.0,0.0,0.1,8.74,12.84,4.64,0.0,0.0,0.0,0.87
Xavier Restrepo,TEN,9.0,4.2,4.5,58.45,0.35,0.5,1.4,0.0,0.0,10.34,12.59,8.09,0.0,0.0,0.0,1.12
Xavier Weaver,ARI,14.0,8.5,6.29,55.86,0.1,0.1,0.4,0.0,0.04,9.29,12.44,6.15,0.0,0.0,0.0,0.65
Barion Brown,NO,8.0,5.17,4.62,55.03,0.37,0.0,0.0,0.0,0.0,10.03,12.34,7.72,0.0,0.0,0.0,0.94
Isaiah Hodgins,NYG,8.0,7.85,4.46,63.6,0.13,0.0,0.0,0.0,0.01,9.35,11.58,7.12,0.0,0.0,0.0,0.91
Justin Watson,HOU,8.0,5.33,4.08,48.49,0.45,0.0,-1.23,0.0,0.02,9.43,11.47,7.39,0.0,0.0,0.0,0.76
Jordan Watkins,SF,8.0,1.45,4.11,56.37,0.24,0.0,0.0,0.0,0.01,9.11,11.17,7.06,0.0,0.0,0.0,1.32
Efton Chism III,NE,11.0,8.0,4.03,50.43,0.31,0.25,0.8,0.0,0.0,9.0,11.01,6.98,0.0,0.0,0.0,0.56
Shedrick Jackson,LV,13.0,7.6,4.0,46.0,0.4,0.0,0.0,0.0,0.0,9.0,11.0,7.0,0.0,0.0,0.0,0.48
Jalin Hyatt,NYG,8.0,8.35,4.57,49.07,0.17,0.0,0.0,0.0,0.0,8.21,10.5,5.93,0.0,0.0,0.0,0.49
Arian Smith,NYJ,13.0,5.75,4.0,40.44,0.16,2.71,9.79,0.08,0.01,8.44,10.44,6.44,0.0,0.0,0.0,0.51
Jeshaun Jones,MIN,6.0,4.37,5.47,48.84,0.0,0.0,0.0,0.0,0.04,7.54,10.27,4.8,0.0,0.0,0.0,0.86
Ja'Lynn Polk,NO,8.0,0.0,3.97,45.33,0.28,0.0,0.0,0.0,0.0,8.2,10.18,6.21,0.0,0.0,0.0,0.0
Dominic Lovett,DET,6.0,0.0,4.25,43.35,0.26,0.0,0.0,0.0,0.0,8.02,10.14,5.89,0.0,0.0,0.0,0.0
Jeff Caldwell,KC,5.0,1.0,3.4,50.55,0.26,0.0,0.0,0.0,0.0,8.31,10.02,6.62,0.0,0.0,0.0,1.22
Anthony Gould,IND,13.0,5.67,4.1,44.45,0.2,0.07,1.13,0.0,0.04,7.73,9.78,5.68,0.0,0.0,0.0,0.62
Mecole Hardman,BUF,7.0,0.0,3.4,40.8,0.26,0.0,0.0,0.0,0.0,7.34,9.04,5.64,0.0,0.0,0.0,0.0
Kaden Wetjen,PIT,9.0,2.04,2.88,32.09,0.14,1.54,13.61,0.1,0.01,7.43,8.87,5.99,0.0,0.0,0.04,0.64
Jake Bobo,SEA,11.0,4.13,3.67,44.26,0.12,0.0,0.0,0.0,0.01,6.96,8.8,5.13,0.0,0.0,0.0,0.76
Nikko Remigio,KC,5.0,7.58,3.98,41.53,0.06,0.07,1.14,0.0,0.01,6.6,8.59,4.61,0.0,0.0,0.0,0.37
Vinny Anthony II,FA,,0.0,3.4,39.9,0.17,0.0,0.0,0.0,,6.71,8.41,5.01,0.0,0.0,0.0,0.0
Cody White,SEA,11.0,2.7,2.25,34.9,0.25,0.0,0.0,0.0,0.0,6.12,7.24,4.99,0.0,0.0,0.0,0.65
Anthony Smith,DAL,14.0,0.0,2.55,36.55,0.17,0.0,0.0,0.0,0.0,5.95,7.22,4.67,0.0,0.0,0.0,0.0
CJ Williams,JAC,7.0,1.0,2.55,34.3,0.17,0.0,0.0,0.0,0.0,5.72,7.0,4.45,0.0,0.0,0.0,0.79
Lewis Bond,HOU,8.0,0.0,2.55,30.6,0.17,0.0,0.0,0.0,0.0,5.36,6.63,4.08,0.0,0.0,0.0,0.0
Casey Washington,ATL,11.0,0.5,2.6,29.77,0.17,0.0,0.0,0.0,0.0,5.3,6.6,4.0,0.0,0.0,0.0,0.72
Jacob Cowing,SF,8.0,0.57,2.2,31.35,0.17,0.0,0.0,0.0,0.0,5.26,6.36,4.16,0.0,0.0,0.0,0.76
Charlie Jones,CIN,6.0,1.67,2.45,24.75,0.18,0.0,0.0,0.0,0.0,4.78,6.01,3.56,0.0,0.0,0.0,0.48
Emmanuel Henderson Jr.,SEA,11.0,0.65,1.9,29.71,0.18,0.0,0.0,0.0,0.0,5.0,5.95,4.05,0.0,0.0,0.0,0.71
Elijah Moore,PHI,10.0,4.65,2.35,28.0,0.0,0.0,4.5,0.0,0.0,4.43,5.6,3.25,0.0,0.0,0.0,0.29
Johnny Wilson,PHI,10.0,1.77,1.72,19.8,0.17,1.0,2.75,0.03,0.0,4.31,5.17,3.46,0.0,0.0,0.0,0.35
Kameron Johnson,TB,10.0,2.45,1.89,21.14,0.03,1.09,6.02,0.04,0.02,4.04,4.99,3.1,0.0,0.0,0.01,0.32
Michael Bandy,DEN,10.0,0.7,1.7,25.09,0.12,0.0,0.0,0.0,0.01,4.06,4.91,3.21,0.0,0.0,0.0,0.58
Dee Eskridge,MIA,6.0,6.0,2.3,25.0,0.0,0.0,0.0,0.0,0.0,3.65,4.8,2.5,0.0,0.0,0.0,0.09
Tahj Washington,MIA,6.0,0.0,1.7,22.1,0.11,0.0,0.0,0.0,0.0,3.72,4.57,2.87,0.0,0.0,0.0,0.0
Dane Key,DEN,10.0,2.4,1.7,22.4,0.1,0.0,0.0,0.0,0.0,3.69,4.54,2.84,0.0,0.0,0.0,0.36
Trebor Pena,JAC,7.0,2.3,1.8,21.2,0.1,0.0,0.0,0.0,0.0,3.62,4.52,2.72,0.0,0.0,0.0,0.33
Chase Roberts,LV,13.0,2.3,1.7,20.9,0.1,0.0,0.0,0.0,0.0,3.54,4.39,2.69,0.0,0.0,0.0,0.33
Brycen Tremayne,CAR,5.0,3.27,2.27,18.67,0.0,0.0,1.33,0.0,0.0,3.14,4.27,2.0,0.0,0.0,0.0,0.18
Trent Sherfield,BUF,7.0,2.6,1.6,18.5,0.1,0.0,0.0,0.0,0.0,3.25,4.05,2.45,0.0,0.0,0.0,0.24
Skyy Moore,GB,11.0,4.07,2.0,16.05,0.0,0.2,4.85,0.0,0.1,2.89,3.89,1.89,0.0,0.0,0.02,0.03
Tyler Johnson,DAL,14.0,2.0,1.7,19.6,0.0,0.0,0.0,0.0,0.0,2.81,3.66,1.96,0.0,0.0,0.0,0.32
Tim Jones,JAC,7.0,4.3,1.35,23.0,0.0,0.0,0.0,0.0,0.0,2.98,3.65,2.3,0.0,0.0,0.0,0.19
Dylan Drummond,ATL,11.0,3.65,2.15,13.0,0.0,0.0,0.0,0.0,0.0,2.38,3.45,1.3,0.0,0.0,0.0,0.0
Bryce Oliver,TEN,9.0,1.9,1.67,17.11,0.0,0.0,0.0,0.0,0.01,2.53,3.36,1.69,0.0,0.0,0.0,0.27
Devin Duvernay,ARI,14.0,2.23,1.35,11.03,0.03,0.48,1.18,0.02,0.07,2.06,2.73,1.38,0.0,0.0,0.0,0.08
Gage Larvadain,CLE,11.0,3.5,1.3,12.67,0.0,0.0,1.0,0.0,0.0,2.02,2.67,1.37,0.0,0.0,0.0,0.0
Tylan Wallace,CLE,11.0,2.9,0.93,12.1,0.07,0.0,0.0,0.0,0.0,2.09,2.56,1.63,0.0,0.0,0.0,0.04
Cedrick Wilson,DET,6.0,2.05,1.35,12.0,0.0,0.0,0.0,0.0,0.0,1.88,2.55,1.2,0.0,0.0,0.0,0.12
Mason Kinsey,TEN,9.0,1.23,1.2,13.33,0.0,0.0,0.0,0.0,0.0,1.93,2.53,1.33,0.0,0.0,0.0,0.23
Deven Thompkins,BUF,7.0,0.0,1.12,13.3,0.0,0.0,0.0,0.0,0.01,1.87,2.43,1.31,0.0,0.0,0.0,0.0
Dareke Young,LV,13.0,2.4,0.85,10.35,0.05,0.0,0.0,0.0,0.0,1.76,2.19,1.33,0.0,0.0,0.0,0.04
Jalen Brooks,ARI,14.0,1.9,0.8,9.0,0.05,0.0,0.0,0.0,0.0,1.6,2.0,1.2,0.0,0.0,0.0,0.06
Simi Fehoko,ARI,14.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.3,1.8,0.8,0.0,0.0,0.0,0.11
Ricky White III,SEA,11.0,0.9,0.8,9.7,0.0,0.0,0.0,0.0,0.0,1.37,1.77,0.97,0.0,0.0,0.0,0.17
LaJohntay Wester,BAL,13.0,1.0,0.27,5.37,0.13,0.2,1.07,0.0,0.1,1.36,1.49,1.22,0.0,0.0,0.0,0.05
Myles Price,MIN,6.0,0.15,0.7,7.61,0.0,0.0,0.0,0.0,0.0,1.11,1.46,0.76,0.0,0.0,0.0,0.18
Ke'Shawn Williams,CIN,6.0,0.33,0.25,1.75,0.0,1.04,5.3,0.0,0.01,0.81,0.94,0.69,0.0,0.0,0.01,0.01
Beaux Collins,NYG,8.0,2.45,0.25,4.0,0.0,0.0,0.0,0.0,0.0,0.53,0.65,0.4,0.0,0.0,0.0,0.0
Britain Covey,PHI,10.0,0.25,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.15,0.2,0.1,0.0,0.0,0.0,0.0
Trent Taylor,SF,8.0,0.1,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.15,0.2,0.1,0.0,0.0,0.0,0.02
Parris Campbell,DAL,14.0,0.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.15,0.0,0.0,0.0,0.0
