type,id,note
draft,1367187880279052288,#SFB16 - Sephiroth (Final Fantasy VII) (drafting)
draft,1367187803699445760,#SFB16 - SimCity (drafting)
draft,1367187719184191488,#SFB16 - Skyrim (drafting)
draft,1367187447028387840,#SFB16 - Snake (drafting)
draft,1367187367336607744,#SFB16 - Soap McTavish (Call of Duty) (drafting)
draft,1367187266723680256,#SFB16 - Solid Snake (Metal Gear Solid) (drafting)
draft,1367187200940195840,#SFB16 - Sonic (Sonic the Hedgehog) (drafting)
draft,1367187077497651200,#SFB16 - Space Invaders 2 (drafting)
draft,1367186969808863232,#SFB16 - Space Invaders (drafting)
draft,1367151476077506560,#SFB16 - Spider-Man (drafting)
draft,1367151408847015936,#SFB16 - Squirtle (Pokemon) (drafting)
draft,1367151102998368256,#SFB16 - Star Fox (drafting)
draft,1367151025898684416,#SFB16 - Star Man (Pro Wrestling NES) (drafting)
draft,1367150958508793856,#SFB16 - Star Wars Battlefront II (drafting)
draft,1367150897762668544,#SFB16 - Stardew Valley (drafting)
draft,1367150828183363584,#SFB16 - Street Fighter II (drafting)
draft,1367150767164649472,#SFB16 - Super Mario 64 (drafting)
draft,1367150689574207488,#SFB16 - Super Mario Bros. (drafting)
draft,1367150620531769344,#SFB16 - Super Mario Bros. 3 (drafting)
draft,1367150548561690624,#SFB16 - Super Mario Kart (drafting)
draft,1367150471197769728,#SFB16 - Super Mario World (drafting)
draft,1367150391724105728,#SFB16 - Super Smash Bros (drafting)
draft,1367150315538751488,#SFB16 - Super Smash Bros. Melee (drafting)
draft,1367150219661160448,#SFB16 - Tecmo Bowl (drafting)
draft,1367150057362579456,#SFB16 - Tecmo Bowl 2 (drafting)
draft,1367150135292735488,#SFB16 - Tecmo Super Bowl (drafting)
draft,1367149977842782208,#SFB16 - Teenage Mutant Ninja Turtles (drafting)
draft,1367149906480857088,#SFB16 - The Elder Scrolls V: Skyrim (drafting)
draft,1367149803582017536,#SFB16 - The Golf Club (drafting)
draft,1366886200601743361,#SFB16 - The Legend of Zelda (drafting)
draft,1366886128010948608,#SFB16 - The Legend of Zelda: A Link to the Past (drafting)
draft,1366886046402375680,#SFB16 - The Legend of Zelda: Ocarina of Time (drafting)
draft,1366885982258872320,#SFB16 - The Punisher (drafting)
draft,1366885884447698944,#SFB16 - The Sims 4 (drafting)
draft,1366885805041152000,#SFB16 - Tidus (Final Fantasy X) (drafting)
draft,1366885729816281088,#SFB16 - Tiger Woods PGA Tour (drafting)
draft,1366885666905923584,#SFB16 - Toad (drafting)
draft,1366880179825168384,#SFB16 - Tony Hawks Underground (drafting)
draft,1366880073881243648,#SFB16 - Tron (drafting)
draft,1366879921527341056,#SFB16 - Twisted Metal (drafting)
draft,1366879823594545152,#SFB16 - Uncharted 4: A Thiefs End (drafting)
draft,1366879712692957184,#SFB16 - Vegas Stakes (drafting)
draft,1366879613363445760,#SFB16 - Waluigi (drafting)
draft,1366879487597232129,#SFB16 - Wario (drafting)
draft,1366879366906122241,#SFB16 - World of Warcraft (drafting)
draft,1366879246626074625,#SFB16 - Wrex (Mass Effect) (drafting)
draft,1366879090795085824,#SFB16 - XCOM 2 (drafting)
draft,1366878851451326464,#SFB16 - Yoshi (drafting)
draft,1366878699357491200,#SFB16 - You Don’t Know Jack (drafting)
draft,1366878385707450368,#SFB16 - Yu-Gi-Oh! (drafting)
