player_id,player,team,pos,season,week,snaps,snaps_pct,rush_att,rush_att_pct,targets,targets_pct,rec,ez_tgts,ez_tgts_pct,inside5_rush,inside5_rush_pct,adot,air_yards_total,team_targets,team_rush_att,team_ez_tgts,team_inside5_rush
00-0040583,Woody Marks,HOU,RB,2026,2,38,48.0,8,44.4,6,12.0,5,0,0.0,0,0.0,1.8,11.0,50,18,4,0
00-0040187,Mitchell Evans,CAR,TE,2026,2,38,58.0,0,0.0,1,3.1,1,0,0.0,0,0.0,-1.0,-1.0,32,22,6,0
00-0041547,KC Concepcion,CLE,WR,2026,2,38,66.0,1,4.3,6,20.0,6,0,0.0,0,0.0,2.0,12.0,30,23,1,0
00-0037005,Tommy Tremble,CAR,TE,2026,2,37,56.0,0,0.0,2,6.2,1,0,0.0,0,0.0,9.5,19.0,32,22,6,0
00-0039849,Marvin Harrison Jr.,ARI,WR,2026,2,37,74.0,0,0.0,1,3.8,0,0,0.0,0,0.0,3.0,3.0,26,17,2,0
00-0038563,Tre Tucker,LV,WR,2026,2,37,59.0,0,0.0,7,24.1,5,1,25.0,0,0.0,20.4,143.0,29,29,4,4
00-0040194,Jackson Hawes,BUF,TE,2026,2,37,50.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,28,36,2,4
00-0038558,Darnell Washington,PIT,TE,2026,2,37,53.0,0,0.0,2,5.4,1,0,0.0,0,0.0,2.0,4.0,37,23,0,0
00-0037256,Rachaad White,WAS,RB,2026,2,37,52.0,7,21.9,6,17.6,6,0,0.0,1,100.0,1.3,8.0,34,32,8,1
00-0036973,Travis Etienne,NO,RB,2026,2,37,54.0,9,32.1,2,6.2,2,0,0.0,1,33.3,-3.5,-7.0,32,28,2,3
00-0037816,Romeo Doubs,NE,WR,2026,2,37,67.0,0,0.0,4,19.0,3,0,0.0,0,0.0,19.0,76.0,21,28,0,0
00-0040737,Terrance Ferguson,LAR,TE,2026,2,36,58.0,0,0.0,9,30.0,6,1,50.0,0,0.0,6.0,54.0,30,28,2,0
00-0035229,T.J. Hockenson,MIN,TE,2026,2,36,69.0,0,0.0,4,21.1,3,0,0.0,0,0.0,8.0,32.0,19,28,1,0
00-0037261,Khalil Shakir,BUF,WR,2026,2,36,49.0,0,0.0,6,21.4,3,0,0.0,0,0.0,12.2,73.0,28,36,2,4
00-0037252,Greg Dulcich,MIA,TE,2026,2,36,61.0,0,0.0,3,13.0,2,0,0.0,0,0.0,3.3,10.0,23,29,0,1
00-0031588,Stefon Diggs,WAS,WR,2026,2,36,51.0,0,0.0,6,17.6,5,2,25.0,0,0.0,12.0,72.0,34,32,8,1
00-0035631,Drew Sample,CIN,TE,2026,2,36,60.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,31,23,2,0
00-0036040,Juwan Johnson,NO,TE,2026,2,36,53.0,0,0.0,4,12.5,4,0,0.0,0,0.0,2.8,11.0,32,28,2,3
00-0041040,Antonio Williams,WAS,WR,2026,2,35,49.0,0,0.0,3,8.8,3,0,0.0,0,0.0,5.3,16.0,34,32,8,1
00-0038542,Bijan Robinson,ATL,RB,2026,2,35,51.0,16,50.0,4,12.9,3,0,0.0,0,0.0,3.0,12.0,31,32,0,0
00-0036463,Chris Blair,ATL,WR,2026,2,34,49.0,0,0.0,3,9.7,1,0,0.0,0,0.0,8.0,24.0,31,32,0,0
00-0036407,Jerry Jeudy,CLE,WR,2026,2,34,59.0,0,0.0,1,3.3,0,0,0.0,0,0.0,10.0,10.0,30,23,1,0
00-0036429,Charlie Woerner,ATL,TE,2026,2,34,49.0,0,0.0,1,3.2,0,0,0.0,0,0.0,1.0,1.0,31,32,0,0
00-0040729,Jack Bech,LV,WR,2026,2,34,54.0,0,0.0,2,6.9,2,0,0.0,0,0.0,9.0,18.0,29,29,4,4
00-0040736,Mason Taylor,NYJ,TE,2026,2,34,46.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,36,27,0,1
00-0037840,Kyren Williams,LAR,RB,2026,2,34,55.0,12,42.9,2,6.7,2,0,0.0,0,0.0,2.5,5.0,30,28,2,0
00-0040715,Cam Skattebo,NYG,RB,2026,2,34,59.0,12,57.1,4,12.5,4,0,0.0,0,0.0,-1.0,-4.0,32,21,1,1
00-0039342,Xavier Legette,CAR,WR,2026,2,33,50.0,0,0.0,4,12.5,2,1,16.7,0,0.0,19.2,77.0,32,22,6,0
00-0040734,TreVeyon Henderson,NE,RB,2026,2,33,60.0,16,57.1,0,0.0,0,0,0.0,0,0.0,0.0,0.0,21,28,0,0
00-0030279,Keenan Allen,IND,WR,2026,2,33,51.0,0,0.0,5,16.7,1,0,0.0,0,0.0,6.2,31.0,30,32,1,2
00-0034837,Calvin Ridley,TEN,WR,2026,2,33,62.0,0,0.0,2,11.8,2,0,0.0,0,0.0,13.5,27.0,17,29,1,4
00-0037746,Brian Robinson,ATL,RB,2026,2,33,48.0,11,34.4,2,6.5,2,0,0.0,0,0.0,0.0,0.0,31,32,0,0
00-0038041,Jake Ferguson,DAL,TE,2026,2,33,60.0,0,0.0,4,12.9,4,2,50.0,0,0.0,7.2,29.0,31,21,4,1
00-0032398,Chris Moore,BAL,WR,2026,2,32,55.0,0,0.0,3,10.3,1,0,0.0,0,0.0,31.0,93.0,29,22,1,1
00-0034798,Durham Smythe,BAL,TE,2026,2,32,55.0,0,0.0,1,3.4,0,0,0.0,0,0.0,-3.0,-3.0,29,22,1,1
00-0033881,Evan Engram,DEN,TE,2026,2,32,52.0,0,0.0,1,3.4,1,0,0.0,0,0.0,17.0,17.0,29,28,2,4
00-0038619,Andrei Iosivas,CIN,WR,2026,2,32,53.0,0,0.0,1,3.2,1,0,0.0,0,0.0,6.0,6.0,31,23,2,0
00-0039074,Davis Allen,LAR,TE,2026,2,32,52.0,0,0.0,1,3.3,1,0,0.0,0,0.0,2.0,2.0,30,28,2,0
00-0037263,Tyler Allgeier,ARI,RB,2026,2,32,64.0,5,29.4,2,7.7,2,0,0.0,0,0.0,-1.5,-3.0,26,17,2,0
00-0039893,Brian Thomas Jr.,JAC,WR,2026,2,32,54.0,0,0.0,8,28.6,3,0,0.0,0,0.0,10.2,82.0,28,24,0,2
