player_id,player,team,pos,season,week,snaps,snaps_pct,rush_att,rush_att_pct,inside5_rush,inside5_rush_pct,routes,routes_pct,targets,targets_pct,rec,ez_tgts,ez_tgts_pct,adot,air_yards_total,team_snaps,team_rush_att,team_inside5_rush,team_targets,team_ez_tgts,team_routes
00-0039359,Cade Stover,HOU,TE,2025,1,36,57.0,0,0.0,0,0.0,12,35.3,4,14.8,0,0,0.0,2.2,0.0,63,27,0,27,0,34
00-0038997,Josh Downs,IND,WR,2025,1,36,49.0,0,0.0,0,0.0,17,51.5,3,10.3,0,0,0.0,4.3,0.0,73,40,5,29,2,33
00-0035631,Drew Sample,CIN,TE,2025,1,36,69.0,0,0.0,0,0.0,12,41.4,1,4.3,0,0,0.0,2.0,0.0,52,23,2,23,2,29
00-0033110,Tyler Higbee,LA,TE,2025,1,35,58.0,0,0.0,0,0.0,21,65.6,0,0.0,0,0,0.0,0.0,0.0,60,25,3,28,1,32
00-0039040,De'Von Achane,MIA,RB,2025,1,35,73.0,7,58.3,0,0.0,21,58.3,4,12.5,0,0,0.0,-0.8,0.0,48,12,0,32,1,36
00-0034386,Justin Watson,HOU,WR,2025,1,35,56.0,0,0.0,0,0.0,18,52.9,2,7.4,0,0,0.0,7.0,0.0,63,27,0,27,0,34
00-0037816,Romeo Doubs,GB,WR,2025,1,34,71.0,0,0.0,0,0.0,17,73.9,4,18.2,0,1,33.3,23.0,0.0,48,25,1,22,3,23
00-0038619,Andrei Iosivas,CIN,WR,2025,1,34,65.0,0,0.0,0,0.0,20,69.0,0,0.0,0,0,0.0,0.0,0.0,52,23,2,23,2,29
00-0039737,Tip Reiman,ARI,TE,2025,1,34,52.0,0,0.0,0,0.0,14,36.8,1,3.4,0,0,0.0,5.0,0.0,66,27,1,29,1,38
00-0034383,Dalton Schultz,HOU,TE,2025,1,34,54.0,0,0.0,0,0.0,21,61.8,5,18.5,0,0,0.0,5.0,0.0,63,27,0,27,0,34
00-0033217,Mo Alie-Cox,IND,TE,2025,1,33,45.0,0,0.0,0,0.0,10,30.3,1,3.4,0,0,0.0,2.0,0.0,73,40,5,29,2,33
00-0033246,Johnny Mundt,JAC,TE,2025,1,33,50.0,0,0.0,0,0.0,8,24.2,1,3.4,0,0,0.0,-3.0,0.0,66,32,0,29,1,33
00-0036427,Tyler Johnson,NYJ,WR,2025,1,33,52.0,0,0.0,0,0.0,14,56.0,2,9.1,0,0,0.0,10.0,0.0,64,40,4,22,0,25
00-0032211,Tyler Lockett,TEN,WR,2025,1,33,58.0,0,0.0,0,0.0,26,76.5,1,4.0,0,0,0.0,16.0,0.0,57,21,1,25,0,34
00-0033591,Noah Brown,WAS,WR,2025,1,33,47.0,0,0.0,0,0.0,21,56.8,3,10.3,0,1,100.0,11.3,0.0,70,32,0,29,1,37
00-0040162,Dylan Sampson,CLE,RB,2025,1,33,43.0,12,50.0,0,0.0,15,31.2,8,19.0,0,0,0.0,-3.1,0.0,76,24,4,42,1,48
00-0033699,Austin Ekeler,WAS,RB,2025,1,33,47.0,6,18.8,0,0.0,19,51.4,3,10.3,0,0,0.0,-2.3,0.0,70,32,0,29,1,37
00-0039338,Brock Bowers,LV,TE,2025,1,32,51.0,0,0.0,0,0.0,26,65.0,8,24.2,0,0,0.0,10.0,0.0,63,24,1,33,1,40
00-0036429,Charlie Woerner,ATL,TE,2025,1,32,42.0,0,0.0,0,0.0,6,12.8,0,0.0,0,0,0.0,0.0,0.0,76,28,5,42,3,47
00-0030035,Adam Thielen,MIN,WR,2025,1,32,57.0,0,0.0,0,0.0,17,68.0,2,9.1,0,0,0.0,3.5,0.0,56,26,0,22,1,25
00-0034791,Nick Chubb,HOU,RB,2025,1,32,51.0,13,48.1,0,0.0,9,26.5,1,3.7,0,0,0.0,5.0,0.0,63,27,0,27,0,34
00-0038046,Charlie Kolar,BAL,TE,2025,1,31,61.0,0,0.0,0,0.0,9,40.9,0,0.0,0,0,0.0,0.0,0.0,51,29,0,19,1,22
