Rank,Pos Rank,Player,Team,Position,Bye,Tier,Rank Min,Rank Max,Rank Std
229,RB91,Brashard Smith,KC,RB,5,14,286,286,0.00
230,RB92,Ty Johnson,BUF,RB,7,14,287,287,0.00
231,WR106,Cooper Kupp,SEA,WR,11,14,289,289,0.00
232,WR107,Calvin Ridley,TEN,WR,9,14,290,290,0.00
233,WR108,Jalen Royals,KC,WR,5,14,291,291,0.00
234,WR109,Kayshon Boutte,NE,WR,11,14,293,293,0.00
235,WR110,Savion Williams,GB,WR,11,14,294,294,0.00
236,WR111,Jack Bech,LV,WR,13,14,295,295,0.00
237,WR112,Kevin Coleman Jr.,MIA,WR,6,14,296,296,0.00
238,WR113,Kalif Raymond,CHI,WR,10,14,297,297,0.00
239,WR114,Zavion Thomas,CHI,WR,10,14,298,298,0.00
240,RB93,Jawhar Jordan,HOU,RB,8,14,299,299,0.00
241,RB94,Kaleb Johnson,PIT,RB,9,14,300,300,0.00
242,RB95,Eli Heidenreich,PIT,RB,9,14,301,301,0.00
