"","Rank","Player","Overall Tier","Pos. Tier","Pos","Team","Bye","ADP","Floor","Consensus","DS Proj","Ceiling","3D Proj","3d Value","Market $","Auction $"
"","109","Rachaad White","8.0","8.0","RB","WAS","7","13.05","109.4","138.0","145.8","243.5","165.8","7.4","$2","$4"
"","110","Quentin Johnston","8.0","6.0","WR","LAC","7","17.04","135.4","140.0","163.1","234.9","177.7","7.3","$2","$4"
"","111","Seattle Seahawks","8.0","1.0","DEF","SEA","11","11.08","119.0","77.0","119.0","119.0","119.0","6.8","$1","$4"
"","112","Denver Broncos","8.0","1.0","DEF","DEN","10","11.01","118.6","82.0","118.6","118.6","118.6","6.6","$1","$4"
"","113","Jacory Croskey-Merritt","8.0","8.0","RB","WAS","7","17.01","111.9","129.0","127.2","267.1","162.6","6.4","$3","$4"
"","114","C.J. Stroud","8.0","3.0","QB","HOU","8","23.05","269.9","265.0","278.2","389.5","307.1","6.2","$2","$4"
"","115","Ricky Pearsall","8.0","6.0","WR","SF","8","15.03","133.2","135.0","164.5","227.0","175.9","6.1","$2","$3"
"Value","116","Michael Pittman Jr.","8.0","6.0","WR","PIT","9","10.04","145.5","151.0","167.2","212.3","175.6","5.9","$2","$3"
"","117","Houston Texans","8.0","1.0","DEF","HOU","8","10.02","116.9","82.0","116.9","116.9","116.9","5.9","$1","$3"
"","118","Ka'imi Fairbairn","8.0","2.0","K","HOU","8","15.07","148.6","140.0","159.8","177.4","162.6","5.4","$3","$3"
"","119","Travis Kelce","8.0","4.0","TE","KC","5","11.02","129.3","148.0","150.3","180.4","154.7","5.3","$2","$3"
"Injured","120","Daniel Jones","8.0","3.0","QB","IND","13","23.02","259.1","255.0","275.6","394.1","304.9","5.1","$1","$3"
"Value","121","Jakobi Meyers","8.0","7.0","WR","JAC","7","13.01","144.3","139.0","165.9","210.7","174.2","5.0","$1","$3"
"","122","Xavier Worthy","8.0","7.0","WR","KC","5","16.05","131.3","141.0","158.2","232.6","173.6","4.6","$1","$3"
"","123","Kenneth Gainwell","9.0","9.0","RB","TB","10","13.03","118.5","133.0","136.2","223.4","156.8","4.5","$1","$3"
"","124","New England Patriots","9.0","1.0","DEF","NE","11","16.01","112.7","71.0","112.7","112.7","112.7","4.3","$1","$2"
"","125","Aaron Jones","9.0","9.0","RB","MIN","6","11.07","107.6","144.0","134.5","216.5","152.0","3.0","$1","$2"
"","126","Minnesota Vikings","9.0","1.0","DEF","MIN","6","19.07","109.1","78.0","109.1","109.1","109.1","2.6","$1","$1"
"","127","Tyler Loop","9.0","2.0","K","BAL","13","21.02","143.6","129.0","152.8","178.8","158.2","2.6","$1","$1"
"","128","Green Bay Packers","9.0","2.0","DEF","GB","11","24.08","108.6","65.0","108.6","108.6","108.6","2.2","$1","$1"
"","129","Baltimore Ravens","9.0","2.0","DEF","BAL","13","17.06","108.6","70.0","108.6","108.6","108.6","2.2","$1","$1"
"","130","Cam Little","9.0","2.0","K","JAC","7","17.03","145.2","125.0","151.3","178.5","157.6","2.0","$1","$1"
"","131","Tyjae Spears","9.0","9.0","RB","TEN","9","18.05","109.7","119.0","130.6","210.3","148.5","1.9","$1","$1"
"Injured","132","Chris Rodriguez","9.0","9.0","RB","JAC","7","22.04","99.8","107.0","108.5","258.2","147.8","1.6","$1","$1"
"Injured","133","Zach Charbonnet","9.0","9.0","RB","SEA","11","17.08","90.5","143.0","113.1","254.5","147.6","1.6","$1","$1"
"","134","Isiah Pacheco","9.0","9.0","RB","DET","6","18.04","103.2","95.0","116.0","237.8","146.9","1.4","$1","$1"
"","135","Pittsburgh Steelers","9.0","2.0","DEF","PIT","9","15.06","107.1","77.0","107.1","107.1","107.1","1.1","$1","$1"
"","136","Cairo Santos","9.0","2.0","K","CHI","10","22.06","142.5","128.0","151.6","174.3","156.1","0.4","$1","$1"
"","137","Jake Bates","9.0","2.0","K","DET","6","19.01","146.6","130.0","149.6","175.0","156.0","0.3","$1","$1"
"","138","Makai Lemon","9.0","7.0","WR","PHI","10","13.06","125.0","129.0","147.0","235.2","167.1","0.3","$1","$1"
