"","Rank","Player","Overall Tier","Pos. Tier","Pos","Team","Bye","ADP","Floor","Consensus","DS Proj","Ceiling","3D Proj","3d Value","Market $","Auction $"
"Injured","145","Kenyon Sadiq","11.0","6.0","TE","NYJ","13","11.03","84.2","83.0","93.6","132.9","102.6","12.1","$14","$7"
"","146","C.J. Stroud","11.0","3.0","QB","HOU","8","13.13","269.9","265.0","278.2","389.5","307.1","11.8","$4","$7"
"","147","Cameron Dicker","11.0","1.0","K","LAC","7","8.04","151.3","139.0","170.0","181.9","169.9","11.6","$6","$7"
"","148","Tre Tucker","11.0","9.0","WR","LVR","13","14.14","87.9","86.0","102.2","164.5","116.6","11.5","$14","$7"
"","149","Jake Ferguson","11.0","6.0","TE","DAL","14","8.06","92.0","97.0","96.8","117.1","101.5","11.4","$5","$7"
"","150","Brian Robinson Jr.","11.0","11.0","RB","ATL","11","14.04","75.4","86.0","91.9","183.8","114.0","11.2","$7","$7"
"","151","Tyler Allgeier","11.0","11.0","RB","ARI","14","13.07","75.9","76.0","92.5","182.2","114.0","11.2","$7","$7"
"","152","Wan'Dale Robinson","11.0","9.0","WR","TEN","9","8.08","93.4","99.0","104.9","153.2","116.0","11.1","$4","$7"
"","153","Denzel Boston","11.0","9.0","WR","CLE","11","13.14","83.3","84.0","96.9","174.4","115.6","10.9","$14","$7"
"Injured","154","Daniel Jones","11.0","3.0","QB","IND","13","13.10","259.1","255.0","275.6","394.1","304.9","10.8","$3","$7"
"","155","Alvin Kamara","12.0","12.0","RB","NO","8","11.04","75.6","77.0","84.0","189.0","111.1","10.4","$2","$6"
"","156","Seattle Seahawks","12.0","1.0","DEF","SEA","11","7.04","119.0","77.0","119.0","119.0","119.0","10.2","$2","$6"
"","157","Dylan Sampson","12.0","12.0","RB","CLE","11","73.04","80.4","68.0","92.4","166.3","110.4","10.2","$2","$6"
"","158","Juwan Johnson","12.0","6.0","TE","NO","8","13.02","85.8","90.0","94.3","119.8","99.7","10.1","$12","$6"
"","159","Denver Broncos","12.0","1.0","DEF","DEN","10","6.11","118.6","82.0","118.6","118.6","118.6","10.0","$1","$6"
"","160","Khalil Shakir","12.0","9.0","WR","BUF","7","10.04","92.0","98.0","104.6","144.3","113.1","9.4","$2","$6"
"","161","Houston Texans","12.0","1.0","DEF","HOU","8","6.04","116.9","82.0","116.9","116.9","116.9","9.1","$1","$6"
"","162","Oronde Gadsden II","12.0","6.0","TE","LAC","7","14.09","81.9","81.0","85.3","134.8","98.2","9.0","$5","$5"
"","163","Jalen Coker","12.0","9.0","WR","CAR","5","11.14","86.5","98.0","96.1","160.5","111.9","8.7","$5","$5"
"","164","Adonai Mitchell","12.0","9.0","WR","NYJ","13","71.04","82.6","69.0","89.8","175.1","111.8","8.7","$5","$5"
"","165","Keaton Mitchell","12.0","12.0","RB","LAC","7","72.02","75.2","66.0","83.5","167.8","105.0","8.6","$3","$5"
"Injured","166","Tyreek Hill","12.0","9.0","WR","UNS","18","14.02","52.7","84.0","95.8","180.1","111.0","8.2","$5","$5"
"","167","Ka'imi Fairbairn","12.0","2.0","K","HOU","8","9.07","148.6","140.0","159.8","177.4","162.6","7.9","$5","$5"
"","168","Jonah Coleman","12.0","12.0","RB","DEN","10","64.09","59.0","37.0","65.5","203.1","101.9","7.8","$3","$5"
"","169","MarShawn Lloyd","12.0","12.0","RB","GB","11","70.14","51.8","40.0","66.4","205.8","101.8","7.7","$5","$5"
"","170","Jauan Jennings","12.0","9.0","WR","MIN","6","15.05","78.2","87.0","88.9","173.4","110.0","7.6","$5","$5"
