Salary Cap Values #13
Overall,Bye Week,VALUES,Tags,Expert Notes,,QB,Bye Week,VALUES,Tags,Expert Notes,,RB,Bye Week,VALUES,Tags,Expert Notes,,WR,Bye Week,VALUES,Tags,Expert Notes,,TE,Bye Week,VALUES,Tags,Expert Notes,,DB,Bye Week,VALUES,Tags,Expert Notes,,
Harold Fannin Jr. (TE - CLE),11,$11,,,,,,,,,,,,,,,,Zachariah Branch - ATL,11,$0,,,,,,,,,,,,,,,,
Drake Maye (QB - NE),11,$10,,,,,,,,,,,,,,,,Elic Ayomanor - TEN,9,$0,,,,,,,,,,,,,,,,
Lamar Jackson (QB - BAL),13,$10,,,,,,,,,,,,,,,,Van Jefferson - WAS,7,$0,,,,,,,,,,,,,,,,
Jayden Daniels (QB - WAS),7,$10,,,,,,,,,,,,,,,,Chimere Dike - TEN,9,$0,,,,,,,,,,,,,,,,
Woody Marks (RB - HOU),8,$10,,,,,,,,,,,,,,,,Ashton Dulin - IND,13,$0,,,,,,,,,,,,,,,,
Rashid Shaheed (WR - SEA),11,$10,,,,,,,,,,,,,,,,Olamide Zaccheaus - ATL,11,$0,,,,,,,,,,,,,,,,
Matthew Golden (WR - GB),11,$10,,,,,,,,,,,,,,,,Pat Bryant - DEN,10,$0,,,,,,,,,,,,,,,,
Jalen Coker (WR - CAR),5,$10,,,,,,,,,,,,,,,,Xavier Legette - CAR,5,$0,,,,,,,,,,,,,,,,
Calvin Ridley (WR - TEN),9,$10,,,,,,,,,,,,,,,,Joshua Palmer - BUF,7,$0,,,,,,,,,,,,,,,,
Travis Kelce (TE - KC),5,$10,,,,,,,,,,,,,,,,Savion Williams - GB,11,$0,,,,,,,,,,,,,,,,
Jalen Hurts (QB - PHI),10,$9,,,,,,,,,,,,,,,,Xavier Hutchinson - HOU,8,$0,,,,,,,,,,,,,,,,
Alvin Kamara (RB - NO),8,$9,,,,,,,,,,,,,,,,Marvin Mims Jr. - DEN,10,$0,,,,,,,,,,,,,,,,
Zach Charbonnet (RB - SEA),11,$9,,,,,,,,,,,,,,,,KaVontae Turpin - DAL,14,$0,,,,,,,,,,,,,,,,
Sam LaPorta (TE - DET),6,$9,,,,,,,,,,,,,,,,Cedric Tillman - CLE,11,$0,,,,,,,,,,,,,,,,
Dallas Goedert (TE - PHI),10,$9,,,,,,,,,,,,,,,,DeMario Douglas - NE,11,$0,,,,,,,,,,,,,,,,
Tyrone Tracy Jr. (RB - NYG),8,$8,,,,,,,,,,,,,,,,Calvin Austin III - NYG,8,$0,,,,,,,,,,,,,,,,
Justice Hill (RB - BAL),13,$8,,,,,,,,,,,,,,,,Jaylin Lane - WAS,7,$0,,,,,,,,,,,,,,,,
Isiah Pacheco (RB - DET),6,$8,,,,,,,,,,,,,,,,Chris Brazzell II - CAR,5,$0,,,,,,,,,,,,,,,,
Dylan Sampson (RB - CLE),11,$8,,,,,,,,,,,,,,,,Elijah Sarratt - BAL,13,$0,,,,,,,,,,,,,,,,
KC Concepcion (WR - CLE),11,$8,,,,,,,,,,,,,,,,Keon Coleman - BUF,7,$0,,,,,,,,,,,,,,,,
Theo Wease Jr. (WR - MIA),6,$8,,,,,,,,,,,,,,,,Jahdae Walker - CHI,10,$0,,,,,,,,,,,,,,,,
Jerry Jeudy (WR - CLE),11,$8,,,,,,,,,,,,,,,,Tutu Atwell - MIA,6,$0,,,,,,,,,,,,,,,,
Tre Tucker (WR - LV),13,$8,,,,,,,,,,,,,,,,Demarcus Robinson - SF,8,$0,,,,,,,,,,,,,,,,
Jaxson Dart (QB - NYG),8,$7,,,,,,,,,,,,,,,,Kevin Coleman Jr. - MIA,6,$0,,,,,,,,,,,,,,,,
Joe Burrow (QB - CIN),6,$7,,,,,,,,,,,,,,,,Kendrick Bourne - ARI,14,$0,,,,,,,,,,,,,,,,
Jayden Higgins (WR - HOU),8,$7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jauan Jennings (WR - MIN),6,$7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen McMillan (WR - TB),10,$7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashod Bateman (WR - BAL),13,$7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tucker Kraft (TE - GB),11,$7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Ferguson (TE - DAL),14,$7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Kittle (TE - SF),8,$7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brock Purdy (QB - SF),8,$6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dak Prescott (QB - DAL),14,$6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trevor Lawrence (QB - JAC),7,$6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrick Mahomes II (QB - KC),5,$6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ty Johnson (RB - BUF),7,$6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samaje Perine (RB - CIN),6,$6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyler Allgeier (RB - ARI),14,$6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Rodriguez Jr. (RB - JAC),7,$6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ Dillon (RB - CAR),5,$6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan James (RB - SF),8,$6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Robinson Jr. (RB - ATL),11,$6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braelon Allen (RB - NYJ),13,$6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denzel Boston (WR - CLE),11,$6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Williams (WR - WAS),7,$6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Nailor (WR - LV),13,$6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cooper Kupp (WR - SEA),11,$6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
