"","Rank","Player","Overall Tier","Pos. Tier","Pos","Team","Bye","ADP","Floor","Consensus","DS Proj","Ceiling","3D Proj","3d Value","Market $","Auction $"
"Injured","83","RJ Harvey","7.0","7.0","RB","DEN","10","8.10","145.7","164.0","173.4","287.8","199.6","27.8","$7","$16"
"","84","J.K. Dobbins","7.0","7.0","RB","DEN","10","7.14","149.7","164.0","176.1","278.2","199.2","27.7","$7","$16"
"Value","85","Michael Pittman Jr.","7.0","6.0","WR","PIT","9","6.06","182.7","189.0","210.0","266.7","220.5","27.7","$10","$16"
"","86","Jaxson Dart","7.0","2.0","QB","NYG","8","5.08","278.2","302.0","316.1","417.3","336.8","27.6","$11","$16"
"","87","Marvin Harrison Jr.","7.0","6.0","WR","ARI","14","5.13","177.6","191.0","201.8","282.5","219.4","27.2","$11","$16"
"","88","Carnell Tate","7.0","6.0","WR","TEN","9","4.13","169.3","193.0","201.6","284.3","218.3","26.8","$14","$15"
"","89","Courtland Sutton","7.0","6.0","WR","DEN","10","6.07","178.1","183.0","207.1","267.2","218.2","26.7","$9","$15"
"Sleeper","90","Jonathon Brooks","7.0","7.0","RB","CAR","5","9.11","131.2","123.0","156.2","307.7","193.0","26.5","$8","$15"
"","91","Jordyn Tyson","7.0","6.0","WR","NO","8","6.09","166.9","176.0","201.1","283.6","217.4","26.4","$10","$15"
"","92","Rachaad White","7.0","7.0","RB","WAS","7","8.03","126.4","159.0","168.5","281.4","191.6","26.2","$6","$15"
"Injured","93","Bo Nix","7.0","2.0","QB","DEN","10","9.03","279.2","290.0","310.2","409.5","331.7","26.0","$12","$15"
"Value","94","Jayden Reed","7.0","6.0","WR","GB","11","10.11","173.0","175.0","203.5","270.7","216.3","25.9","$8","$15"
"Injured","95","Alec Pierce","7.0","6.0","WR","IND","13","6.08","174.2","195.0","202.6","271.5","216.2","25.9","$16","$15"
"Injured","96","Patrick Mahomes","7.0","2.0","QB","KC","5","8.09","276.2","306.0","306.9","417.4","331.5","25.9","$10","$15"
"","97","Jordan Addison","7.0","6.0","WR","MIN","6","9.14","172.6","170.0","203.1","270.1","215.8","25.7","$8","$15"
"Value","98","Kyler Murray","7.0","2.0","QB","MIN","6","11.13","271.3","290.0","308.3","416.2","331.0","25.7","$9","$15"
"Value","99","Jakobi Meyers","7.0","6.0","WR","JAC","7","7.13","178.5","172.0","205.2","260.6","215.5","25.6","$5","$15"
"","100","Brian Thomas Jr.","7.0","6.0","WR","JAC","7","7.08","169.8","176.0","193.0","289.5","215.1","25.5","$18","$15"
"","101","Kyle Monangai","8.0","8.0","RB","CHI","10","8.12","141.1","153.0","155.0","271.3","184.2","24.7","$6","$14"
"","102","Travis Kelce","8.0","4.0","TE","KC","5","6.12","162.7","186.0","189.2","227.0","194.7","24.6","$11","$14"
"","103","Ricky Pearsall","8.0","6.0","WR","SF","8","9.02","161.4","165.0","199.2","274.9","213.0","24.6","$8","$14"
"","104","Quentin Johnston","8.0","6.0","WR","LAC","7","10.06","161.7","168.0","194.8","280.5","212.2","24.3","$7","$14"
"","105","Kenneth Gainwell","8.0","8.0","RB","TB","10","8.01","136.1","158.0","156.4","256.5","180.0","23.9","$6","$14"
"","106","Jared Goff","8.0","3.0","QB","DET","6","11.08","278.2","289.0","302.4","402.2","325.2","23.9","$6","$14"
