Salary Cap Values #12
Overall,Bye Week,VALUES,Tags,Expert Notes,,QB,Bye Week,VALUES,Tags,Expert Notes,,RB,Bye Week,VALUES,Tags,Expert Notes,,WR,Bye Week,VALUES,Tags,Expert Notes,,TE,Bye Week,VALUES,Tags,Expert Notes,,K,Bye Week,VALUES,Tags,Expert Notes,,DST,Bye Week,VALUES,Tags,Expert Notes,,DB,Bye Week,VALUES,Tags,Expert Notes,,
Tetairoa McMillan (WR - CAR),5,$15,,,,,,,,,,James Conner - ARI,14,$0,,,,Denzel Boston - CLE,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davante Adams (WR - LAR),11,$15,,,,,,,,,,Emanuel Wilson - SEA,11,$0,,,,Tank Dell - HOU,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Nabers (WR - NYG),8,$15,,,,,,,,,,Jaylen Wright - MIA,6,$0,,,,Cooper Kupp - SEA,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tee Higgins (WR - CIN),6,$15,,,,,,,,,,Jawhar Jordan - HOU,8,$0,,,,Omar Cooper Jr. - NYJ,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bucky Irving (RB - TB),10,$14,,,,,,,,,,Kyle Juszczyk - SF,8,$0,,,,Adonai Mitchell - NYJ,13,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D'Andre Swift (RB - CHI),10,$14,,,,,,,,,,Jaydon Blue - DAL,14,$0,,,,Germie Bernard - PIT,9,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jameson Williams (WR - DET),6,$14,,,,,,,,,,MarShawn Lloyd - GB,11,$0,,,,Travis Hunter - JAC,7,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colston Loveland (TE - CHI),10,$14,,,,,,,,,,Kendre Miller - NO,8,$0,,,,Darnell Mooney - NYG,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinshon Judkins (RB - CLE),11,$13,,,,,,,,,,George Holani - SEA,11,$0,,,,Bub Means - NO,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terry McLaurin (WR - WAS),7,$13,,,,,,,,,,LeQuint Allen Jr. - JAC,7,$0,,,,Kayshon Boutte - NE,11,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rome Odunze (WR - CHI),10,$13,,,,,,,,,,Frank Gore Jr. - BUF,7,$0,,,,Malik Washington - MIA,6,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhayshul Tuten (RB - JAC),7,$12,,,,,,,,,,Roschon Johnson - CHI,10,$0,,,,Christian Kirk - SF,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alec Pierce (WR - IND),13,$12,,,,,,,,,,Ollie Gordon II - MIA,6,$0,,,,Darius Slayton - NYG,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ladd McConkey (WR - LAC),7,$12,,,,,,,,,,Isaiah Davis - NYJ,13,$0,,,,Jaylin Noel - HOU,8,$0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
