Overall,,,,,QB,,,,,RB,,,,,WR,,,,,TE,,,,,DST,,,,,Superflex,,,,,K,,,,,P,,,,,TM-QB,,,,,TM-RB,,,,,TM-WR,,,,,TM-TE,,,,,TM-K,,,,,HC,,,,,TM-OL,,,,,
Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,
"Josh Allen",BUF,"QB",17298,,"Shedeur Sanders",CLE,"QB",25968,,"Kyle Monangai",CHI,"RB",27131,,"Courtland Sutton",DEN,"WR",17253,,"Colby Parkinson",LAR,"TE",19372,,,,,,,"James Cook III",BUF,"RB",22958,,"Cade York",NYJ,"K",24549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zay Flowers",BAL,"WR",22916,,"Kirk Cousins",LV,"QB",11177,,"Rachaad White",WAS,"RB",23891,,"DK Metcalf",PIT,"WR",18219,,"Darnell Washington",PIT,"TE",22967,,,,,,,"Saquon Barkley",PHI,"RB",17240,,"Andre Szmyt",CLE,"K",25713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Colston Loveland",CHI,"TE",26006,,"J.J. McCarthy",MIN,"QB",23018,,"Kenneth Gainwell",TB,"RB",23310,,"Parker Washington",JAC,"WR",23106,,"Mason Taylor",NYJ,"TE",26005,,,,,,,"Omarion Hampton",LAC,"RB",25395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ladd McConkey",LAC,"WR",26122,,"Carson Beck",ARI,"QB",22953,,"Aaron Jones Sr.",MIN,"RB",16673,,"Chris Godwin Jr.",TB,"WR",16406,,"Darren Waller",FA,"TE",14104,,,,,,,"Brock Bowers",LV,"TE",22955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Derrick Henry",BAL,"RB",15514,,"Justin Fields",KC,"QB",19781,,"Blake Corum",LAR,"RB",23013,,"Brian Thomas Jr.",JAC,"WR",23000,,"Ja'Tavion Sanders",CAR,"TE",24334,,,,,,,"Tyler Shough",NO,"QB",23096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Luther Burden III",CHI,"WR",27016,,"Tyson Bagent",CHI,"QB",25321,,"Jacory Croskey-Merritt",WAS,"RB",27316,,"Makai Lemon",PHI,"WR",25420,,"Michael Mayer",LV,"TE",23056,,,,,,,"Rashee Rice",KC,"WR",23113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Javonte Williams",DAL,"RB",22739,,"Tanner McKee",PHI,"QB",24740,,"Jonathon Brooks",CAR,"RB",26148,,"Jakobi Meyers",JAC,"WR",18598,,"Elijah Arroyo",SEA,"TE",23004,,,,,,,"Kenneth Walker III",KC,"RB",23021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Travis Etienne Jr.",NO,"RB",19231,,,,,,,"Jordan Mason",MIN,"RB",22969,,"Jayden Reed",GB,"WR",23020,,"Theo Johnson",NYG,"TE",23104,,,,,,,"Jared Goff",DET,"QB",15501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jaylen Waddle",DEN,"WR",19790,,,,,,,"Tyrone Tracy Jr.",NYG,"RB",22980,,"Michael Wilson",ARI,"WR",25333,,"Cole Kmet",CHI,"TE",19229,,,,,,,"George Pickens",DAL,"WR",22963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cam Skattebo",NYG,"RB",27166,,,,,,,"Chris Rodriguez Jr.",JAC,"RB",22986,,"Michael Pittman Jr.",PIT,"WR",19278,,"Tyler Higbee",LAR,"TE",15623,,,,,,,"Malik Nabers",NYG,"WR",25409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Davante Adams",LAR,"WR",12123,,,,,,,"Tyler Allgeier",ARI,"RB",24172,,"Ricky Pearsall",SF,"WR",26214,,"Dawson Knox",BUF,"TE",18631,,,,,,,"DeVonta Smith",PHI,"WR",19222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Terry McLaurin",WAS,"WR",18466,,,,,,,"Tyjae Spears",TEN,"RB",25323,,"Jordan Addison",MIN,"WR",23107,,"Max Klare",LAR,"TE",27993,,,,,,,"Chris Olave",NO,"WR",20111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
