Overall,,,,,QB,,,,,RB,,,,,WR,,,,,TE,,,,,DST,,,,,Superflex,,,,,K,,,,,P,,,,,TM-QB,,,,,TM-RB,,,,,TM-WR,,,,,TM-TE,,,,,TM-K,,,,,HC,,,,,TM-OL,,,,,
Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,Name,Team,Position,Player ID,,
"Jeremiyah Love",ARI,"RB",25403,,"Kirk Cousins",LV,"QB",11177,,"Blake Corum",LAR,"RB",23013,,"DK Metcalf",PIT,"WR",18219,,"Charlie Kolar",LAC,"TE",22756,,"Arizona Cardinals",ARI,"DST",8000,,"Zay Flowers",BAL,"WR",22916,,"Matt Gay",LV,"K",18545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Josh Allen",BUF,"QB",17298,,"Deshaun Watson",CLE,"QB",16398,,"J.K. Dobbins",DEN,"RB",19245,,"Quentin Johnston",LAC,"WR",23123,,"Oronde Gadsden II",LAC,"TE",25997,,,,,,,"Jeremiyah Love",ARI,"RB",25403,,"Jason Sanders",FA,"K",17533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Breece Hall",NYJ,"RB",22982,,"Tua Tagovailoa",ATL,"QB",19198,,"Jordan Mason",MIN,"RB",22969,,"Carnell Tate",TEN,"WR",26009,,"Mike Gesicki",CIN,"TE",17272,,,,,,,"Breece Hall",NYJ,"RB",22982,,"Dominic Zvada",NYG,"K",28176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tee Higgins",CIN,"WR",19211,,"Shedeur Sanders",CLE,"QB",25968,,"Chuba Hubbard",CAR,"RB",19792,,"Courtland Sutton",DEN,"WR",17253,,"Michael Mayer",LV,"TE",23056,,,,,,,"Tee Higgins",CIN,"WR",19211,,"Andre Szmyt",CLE,"K",25713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jaylen Waddle",DEN,"WR",19790,,"Carson Beck",ARI,"QB",22953,,"RJ Harvey",DEN,"RB",27142,,"Brian Thomas Jr.",JAC,"WR",23000,,"Darren Waller",CAR,"TE",14104,,,,,,,"Jaylen Waddle",DEN,"WR",19790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ladd McConkey",LAC,"WR",26122,,"Mac Jones",SF,"QB",20156,,"Jacory Croskey-Merritt",WAS,"RB",27316,,"Chris Godwin Jr.",TB,"WR",16406,,"Darnell Washington",PIT,"TE",22967,,,,,,,"Ladd McConkey",LAC,"WR",26122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Garrett Wilson",NYJ,"WR",23072,,"J.J. McCarthy",MIN,"QB",23018,,"Kenny Gainwell",TB,"RB",23310,,"Stefon Diggs",WAS,"WR",13981,,"Mason Taylor",NYJ,"TE",26005,,,,,,,"Garrett Wilson",NYJ,"WR",23072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Emeka Egbuka",TB,"WR",23062,,"Justin Fields",KC,"QB",19781,,"Kyle Monangai",CHI,"RB",27131,,"Jayden Reed",GB,"WR",23020,,"Elijah Arroyo",SEA,"TE",23004,,,,,,,"Emeka Egbuka",TB,"WR",23062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Travis Etienne Jr.",NO,"RB",19231,,"Ty Simpson",LAR,"QB",25368,,"Rachaad White",WAS,"RB",23891,,"Josh Downs",IND,"WR",24706,,"Theo Johnson",NYG,"TE",23104,,,,,,,"Travis Etienne Jr.",NO,"RB",19231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tetairoa McMillan",CAR,"WR",25417,,,,,,,"Chris Rodriguez Jr.",JAC,"RB",22986,,"Michael Pittman Jr.",PIT,"WR",19278,,"Cole Kmet",CHI,"TE",19229,,,,,,,"Lamar Jackson",BAL,"QB",17233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Luther Burden III",CHI,"WR",27016,,,,,,,"Aaron Jones Sr.",MIN,"RB",16673,,"Jordan Addison",MIN,"WR",23107,,"Jake Tonges",SF,"TE",24778,,,,,,,"Tetairoa McMillan",CAR,"WR",25417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Davante Adams",LAR,"WR",12123,,,,,,,"Woody Marks",HOU,"RB",27520,,"Alec Pierce",IND,"WR",23791,,"Eli Raridon",NE,"TE",28154,,,,,,,"Luther Burden III",CHI,"WR",27016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"D'Andre Swift",CHI,"RB",19210,,,,,,,"Tyjae Spears",TEN,"RB",25323,,"Michael Wilson",ARI,"WR",25333,,"Dawson Knox",BUF,"TE",18631,,,,,,,"Davante Adams",LAR,"WR",12123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lamar Jackson",BAL,"QB",17233,,,,,,,"Mike Washington Jr.",LV,"RB",28108,,"De'Zhaun Stribling",SF,"WR",28138,,"Oscar Delp",NO,"TE",25430,,,,,,,"D'Andre Swift",CHI,"RB",19210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bucky Irving",TB,"RB",25981,,,,,,,"Jonah Coleman",DEN,"RB",27320,,"Makai Lemon",PHI,"WR",25420,,"Tyler Higbee",LAR,"TE",15623,,,,,,,"Drake Maye",NE,"QB",23046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jameson Williams",DET,"WR",23677,,,,,,,"Tyler Allgeier",ARI,"RB",24172,,"Wan'Dale Robinson",TEN,"WR",22985,,"Eli Stowers",PHI,"TE",23144,,,,,,,"Bucky Irving",TB,"RB",25981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Colston Loveland",CHI,"TE",26006,,,,,,,"Keaton Mitchell",LAC,"RB",25360,,"KC Concepcion",CLE,"WR",27331,,"Noah Gray",KC,"TE",19539,,,,,,,"Jameson Williams",DET,"WR",23677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cam Skattebo",NYG,"RB",27166,,,,,,,"Tank Bigsby",PHI,"RB",22908,,"Matthew Golden",GB,"WR",26024,,"Erick All Jr.",CIN,"TE",23837,,,,,,,"Colston Loveland",CHI,"TE",26006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"David Montgomery",HOU,"RB",18239,,,,,,,"Josh Jacobs",GB,"RB",18269,,"Xavier Worthy",KC,"WR",23019,,"Noah Fant",NO,"TE",17527,,,,,,,"Joe Burrow",CIN,"QB",19196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
